participante,ImageName,score,saliency_coverage,stationary_entropy,gaze_points_count
3,104,7.0,9.061041666666666,16.820038008825286,417
3,105,6.0,10.2675,16.82868060378061,451
3,109,3.0,13.787916666666666,17.094968397077526,444
3,110,4.0,9.187083333333334,16.804219607414883,450
3,111,3.0,1.5935416666666666,16.560009080528417,434
3,113,4.0,8.865833333333335,16.486502413946663,434
3,116,5.0,5.119375000000001,16.467135497758616,432
3,120,7.0,7.833125000000001,16.539333166988957,429
3,122,3.0,9.349791666666667,16.785392291512405,430
3,129,8.0,6.957708333333333,16.53042593144392,450
3,132,3.0,6.810833333333334,16.81669443347372,427
3,133,3.0,12.170416666666666,17.107767907212516,406
3,135,6.0,6.191666666666666,16.524801793166095,376
3,136,4.0,9.175833333333333,16.5069154961329,434
3,141,3.0,3.830416666666667,16.306789123166705,447
3,147,3.0,15.825624999999999,17.2364821819092,451
3,148,7.0,12.129791666666668,16.884607709012442,419
4,2,5.0,15.299999999999999,17.27306947780626,900
4,9,3.0,17.308125,17.498525604985954,883
4,11,6.0,10.497916666666667,17.034346262016804,777
4,12,3.0,19.21666666666667,17.518217500866527,894
4,15,5.0,17.244999999999997,17.28383884246791,900
4,19,4.0,11.4625,17.209852060135564,868
4,23,6.0,11.662291666666667,17.112131765465936,890
4,25,4.0,14.317291666666668,17.046583465085245,901
4,26,3.0,11.037916666666666,16.889007907839037,862
4,28,5.0,8.886041666666667,16.617380998477895,854
4,35,5.0,19.708958333333335,17.490670102078525,858
4,37,5.0,17.93541666666667,17.279850139594796,899
4,39,6.0,10.243125000000001,17.067737237345543,900
4,43,4.0,19.992083333333333,17.404259287893662,900
4,44,6.0,10.802916666666667,17.376587784959877,857
4,47,6.0,21.101666666666667,17.66773836212854,899
4,48,4.0,10.109375,16.80090872342318,846
4,49,4.0,23.583333333333336,17.572931782828967,900
4,52,6.0,13.353333333333333,17.200099216705812,856
4,53,4.0,11.240208333333333,16.831105955855524,900
4,55,5.0,11.826458333333335,17.04881890769732,889
4,61,6.0,16.822083333333335,17.30045824591449,810
4,62,6.0,11.457291666666666,16.845502888577972,883
4,64,5.0,17.671041666666667,17.457004659054867,896
4,67,5.0,14.937916666666668,17.3987901855421,873
4,69,4.0,4.0597916666666665,16.682607847687265,899
4,79,3.0,15.972916666666666,17.195577226757543,833
4,80,4.0,10.777916666666666,17.353418480216813,770
4,83,5.0,15.906458333333335,17.35185103850673,822
4,84,5.0,15.6375,17.394921405466178,901
4,85,6.0,16.597916666666666,17.21843204574161,900
4,93,5.0,19.658541666666668,17.544006664055996,784
4,95,5.0,18.827291666666667,17.52743240337153,838
4,104,4.0,12.457708333333334,17.267114575284843,873
4,105,5.0,22.547291666666666,17.64812362288034,900
4,109,3.0,13.224791666666667,17.411726054642013,901
4,113,5.0,17.250833333333336,17.410434799327415,900
4,115,6.0,13.580833333333334,17.59172331251791,892
4,119,7.0,18.2825,17.54454856153784,895
4,120,6.0,9.235625,17.11794156120555,901
4,124,6.0,8.6525,16.793997203958494,860
4,126,4.0,7.96375,17.171570848433497,824
4,127,6.0,19.346875,17.363686746879946,900
4,129,7.0,14.138125000000002,16.981374615615678,899
4,130,4.0,16.424166666666668,17.177210962695185,882
4,131,5.0,10.087916666666667,17.267842267276187,901
4,137,5.0,3.660833333333333,17.15804344292132,803
4,140,5.0,14.266666666666666,17.469040080957168,898
4,144,5.0,15.155416666666666,17.277651270797396,890
4,146,5.0,2.279375,17.15326907955658,865
5,1,4.0,8.890625,16.635409919969796,446
5,4,5.0,9.596666666666668,16.743338609982114,433
5,5,5.0,6.96375,16.82725227847814,450
